athlete_code,athlete_name,athlete_gender,country_code,athlete_height,athlete_birth_date,team_code
1532872,ALEKSANYAN Artur,M,ARM,,1991-10-21,
1532873,AMOYAN Malkhas,M,ARM,,1999-01-22,
1532874,GALSTYAN Slavik,M,ARM,,1996-12-21,
1532944,HARUTYUNYAN Arsen,M,ARM,,1999-11-22,
1532945,TEVANYAN Vazgen,M,ARM,,1999-10-27,
1532951,ARENAS Lorena,F,COL,162.0,1993-09-17,ATHX42KWALKTCOL01
1533112,McKENZIE Ashley,M,JAM,,1989-07-17,
1533136,BASS BITTAYE Gina Mariam,F,GAM,161.0,1995-05-03,
1533176,CAMARA Ebrahima,M,GAM,178.0,1996-09-18,
1533188,RUEDA SANTOS Lizeth,F,MEX,,1994-03-07,TRIXTEAM4---MEX01
1533189,TAPIA VIDAL Rosa Maria,F,MEX,,1997-08-27,TRIXTEAM4---MEX01
1533190,GRAJALES Crisanto,M,MEX,,1987-05-06,TRIXTEAM4---MEX01
1533208,MAAROUFOU Hachim,M,COM,183.0,1997-02-13,
1533209,SAADI Maesha,F,COM,,2007-01-16,
1533230,DIOSDADO Nuria,F,MEX,,1990-08-22,SWAWTEAM8---MEX01
1533231,JIMENEZ Joana,F,MEX,,1993-08-19,SWAWTEAM8---MEX01
1533232,SOBRINO Jessica,F,MEX,,1994-05-26,SWAWTEAM8---MEX01
1533234,ALFEREZ Regina,F,MEX,,1997-12-01,SWAWTEAM8---MEX01
1533235,ARELLANO Fernanda,F,MEX,,2002-02-28,SWAWTEAM8---MEX01
1533237,TOSCANO Pamela,F,MEX,,2000-01-13,SWAWTEAM8---MEX01
1533239,GONZALEZ Itzamary,F,MEX,,2003-11-14,SWAWTEAM8---MEX01
1533240,RODRIGUEZ Samanta,F,MEX,,1994-12-05,SWAWTEAM8---MEX01
1533243,INZUNZA Glenda,F,MEX,,2000-03-12,SWAWTEAM8---MEX01
1533245,SEHEN Sajjad,M,IRQ,,1996-03-08,
1533359,RUBAIAWI Ali Ammar Yusur,M,IRQ,,2004-08-02,
1533364,ISMAIL Mohamed,M,DJI,170.0,1997-01-01,
1533371,HASSAN Ibrahim,M,DJI,170.0,1997-01-01,
1533372,WAISS Abdi,M,DJI,170.0,1996-07-03,
1533374,HASSAN NOUR Samiyah,F,DJI,160.0,1999-12-05,
1533378,HOUSSEIN BARKAT Houmed,M,DJI,,2004-04-04,
1535180,BARAT Andy,M,COM,,1997-11-29,
1535186,MARTINEZ RAMIREZ Miguel Angel,M,MEX,178.0,2001-03-17,
1535187,VERDE ALVAREZ Marco Alonso,M,MEX,180.0,2002-02-11,
1535191,GONZALEZ Alegna,F,MEX,158.0,1999-01-02,ATHX42KWALKTMEX01
1535195,LOPEZ Jesus Tonatiu,M,MEX,190.0,1997-08-02,
1535199,PORTILLO Erick,M,MEX,190.0,2000-10-05,
1535201,MUNOZ Uziel,M,MEX,185.0,1995-09-08,
1535202,del REAL Diego,M,MEX,185.0,1994-03-06,
1535203,DOCTOR Jose Luis,M,MEX,175.0,1996-06-14,
1535212,MORAN Paola,F,MEX,169.0,1997-02-25,
1535214,GALVAN Laura,F,MEX,162.0,1991-10-05,
1535216,CORTES Alma Delia,F,MEX,160.0,1997-12-26,
1535217,CRISTIAN MOSCOTE Citlali,F,MEX,154.0,1995-04-15,
1535222,PALMA OLIVARES Ever Jair,M,MEX,168.0,1992-03-18,ATHX42KWALKTMEX01
1535225,OETLING RAMIREZ Elena,F,MEX,,1993-04-18,
1535226,AGUILAR CHAVEZ PEON Mariana,F,MEX,,1999-03-12,
1535252,LECHUGA ALANIS Kenia,F,MEX,,1994-06-26,
1535260,LOPEZ GARCIA Alexis,M,MEX,,1997-05-01,ROWMSCULL2-LMEX01
1535267,CARBALLO NIETO Miguel,M,MEX,,1992-07-08,ROWMSCULL2-LMEX01
1535310,BLANCO Luisa,F,COL,,2001-11-18,
1535343,WILLARS VALDEZ Randal,M,MEX,,2002-04-30,DIVM10MTEAM2MEX01
1535345,BERLIN REYES Kevin,M,MEX,,2001-04-25,DIVM10MTEAM2MEX01
1535346,OROZCO LOZA Alejandra,F,MEX,,1997-04-19,DIVW10MTEAM2MEX01
1535348,AGUNDEZ GARCIA Gabriela,F,MEX,,2000-08-04,DIVW10MTEAM2MEX01
1535349,OLVERA IBARRA Osmar,M,MEX,,2004-06-05,DIVM3MTEAM2-MEX01
1535350,GARZA PEREZ Eugenio,M,MEX,,1996-07-23,EQUOJUMPTEAMMEX01
1535351,FERNANDEZ Federico,M,MEX,,1968-03-28,EQUOJUMPTEAMMEX01
1535354,de LARA OJEDA Miguel Alejandro,M,MEX,,1994-08-09,
1535356,MORENO Alexa,F,MEX,,1994-08-08,
1535357,SANDOVAL Ahtziri,F,MEX,,1996-10-05,
1535358,FLORES Sofia,F,MEX,,2004-12-20,GRYW5AA-----MEX01
1535359,SALAZAR Kimberly,F,MEX,,2004-04-24,GRYW5AA-----MEX01
1535360,TEJEDA Adirem,F,MEX,,2002-06-21,GRYW5AA-----MEX01
1535361,ALCOCER Dalia,F,MEX,,2004-01-02,GRYW5AA-----MEX01
1535362,GUTIERREZ Julia,F,MEX,,2007-09-13,GRYW5AA-----MEX01
1535363,HERNANDEZ Emiliano,M,MEX,,1998-01-27,
1535364,CARRILLO Duilio,M,MEX,,1997-03-24,
1535365,OLIVER Mayan,F,MEX,,1993-07-11,
1535366,SANSORES Carlos,M,MEX,,1997-06-25,
1535367,SOUZA Daniela Paola,F,MEX,,1999-08-27,
1535368,CLELAND QUINONEZ Alan,M,MEX,,2002-06-19,
1535373,GRIGORIAN Aram,M,UAE,,1998-06-09,
1535374,KOSTOEV Dzhafar,M,UAE,,1999-04-28,
1535375,MAGOMEDOMAROV Magomedomar,M,UAE,,2001-04-10,
1535376,TATALASHVILI Nugzari,M,UAE,,1990-03-20,
1535383,BISHRELT Khorloodoi,F,UAE,,1998-05-29,
1535385,HOUSSEIN Alexandre,M,DJI,,1998-03-28,
1535395,AL SAYEGH Safia,F,UAE,,2001-09-23,
1535420,VALENCIA Alejandra,F,MEX,,1994-10-17,ARCXTEAM2---MEX01
1535429,RUIZ Angela,F,MEX,,2006-07-28,ARCWTEAM3---MEX01
1535430,GRANDE Matias,M,MEX,,2004-04-26,ARCXTEAM2---MEX01
1535433,PRIETO Marcela,F,MEX,,1992-03-11,
1535438,RAMIREZ RAMOS Edson Ismael,M,MEX,,2000-07-10,SHOXARMT----MEX01
1535439,RODRIGUEZ Gabriela,F,MEX,,1996-12-12,
1535440,ZAVALA VAZQUEZ Alejandra,F,MEX,,1984-06-16,
1535441,QUEZADA MARQUEZ Carlos,M,MEX,,1999-10-21,
1535442,PENAFLOR MOYSEN Aram Michell,M,MEX,,1999-03-11,TRIXTEAM4---MEX01
1535444,REINOSO Sofia,F,MEX,,1996-10-23,
1535448,BRIONES FRAGOZA Beatriz,F,MEX,,1999-02-10,CSPWK2-500M-MEX01
1535449,ALANIS MORALES Karina,F,MEX,,1993-12-09,CSPWK2-500M-MEX01
